,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
480,Taksimo,RU,-21.81,56.36,114.84,56,24,1.72
481,Muros,ES,45.54,42.77,-9.06,87,75,4.7
482,Usak,TR,30.98,38.67,29.41,93,8,2.73
483,Ibra,OM,49.2,22.69,58.55,91,0,2.39
484,Mirnyy,RU,15.36,56.57,36.46,90,80,7.99
486,Kalundborg,DK,37.4,55.68,11.1,100,90,6.93
487,Quatre Cocos,MU,78.8,-20.21,57.76,88,75,3.36
488,Belaya Gora,RU,-36.98,68.54,146.19,73,56,3.4
489,Sakaiminato,JP,42.8,35.55,133.23,52,75,8.05
490,San Ramon,NI,84.2,12.92,-85.84,48,40,2.39
491,Fuxin,CN,19.64,42.02,121.65,27,0,10.67
492,Chase,US,5.86,43.89,-85.64,58,75,8.05
493,Bubaque,GW,83.99,11.28,-15.83,79,0,13.8
494,Vestmannaeyjar,IS,36.51,63.44,-20.27,100,92,20.51
495,Pirovskoye,RU,0.29,57.63,92.27,63,48,9.44
496,Parit Buntar,MY,78.8,5.13,100.49,94,75,8.66
497,Laguna,MX,82.4,27.52,-110.01,12,5,6.93
498,Sambava,MG,77.69,-14.27,50.17,100,92,15.93
499,Matagami,NG,72.69,9.67,8.4,77,0,3.74
500,Alausi,EC,58.43,-2.2,-78.83,88,68,2.17
501,Santiago del Estero,AR,90.33,-27.8,-64.26,66,44,3.51
502,Atikokan,CA,-11.82,48.76,-91.62,55,12,3.74
503,Estevan,CA,33.8,49.14,-102.99,100,90,27.51
504,Beringovskiy,RU,-3.72,63.05,179.32,89,0,10.56
505,Yerbogachen,RU,3.03,61.28,108.01,63,56,9.78
507,Broome,GB,39.4,52.47,1.45,93,75,18.34
508,Leshukonskoye,RU,7.58,64.9,45.76,76,88,9.55
509,Vila Franca do Campo,PT,57.2,37.72,-25.43,87,75,9.17
510,Zhangye,CN,-3.32,38.94,100.46,52,0,5.86
511,Barra Patuca,HN,82.05,15.8,-84.28,85,76,9.22
512,Yumen,CN,8.43,40.29,97.04,80,8,13.24
513,Evensk,RU,-10.92,61.92,159.24,100,8,8.66
515,Verkhoyansk,RU,-60.2,67.55,133.39,0,0,2.62
516,Providencia,CO,68.85,1.24,-77.6,69,40,6.93
517,Ouadda,CF,81.83,8.07,22.4,46,48,5.19
518,Karpathos,GR,55.4,35.51,27.21,71,76,10.29
519,Pochutla,MX,86,15.74,-96.47,58,75,13.87
520,Severobaykalsk,RU,-5.88,55.65,109.32,75,68,1.61
521,Chongwe,ZM,64.4,-15.33,28.68,88,0,3.36
523,Kikwit,CD,75.3,-5.04,18.82,92,12,2.73
524,La Romana,DO,80.6,18.43,-68.97,65,75,11.41
525,Oytal,KZ,13.79,42.91,73.27,71,0,2.28
526,Micheweni,TZ,81.29,-4.97,39.83,100,76,15.7
527,Malanje,AO,68.69,-9.54,16.35,95,56,4.74
529,Ossora,RU,-2.91,59.24,163.07,85,88,6.2
530,Mackay,CA,28.4,53.65,-115.58,74,75,21.92
531,Sungairaya,ID,76.38,0.7,108.9,94,80,4.18
532,San Esteban,CL,91.4,-32.8,-70.58,26,0,18.34
533,Vestmanna,FO,30.2,62.16,-7.17,100,76,11.41
535,Murdochville,CA,16.13,48.96,-65.49,72,88,11.56
536,Kamenskiy,RU,24.45,50.89,45.49,93,92,12.68
537,San Pedro,AR,90.69,-33.68,-59.66,65,8,5.08
538,Sur,OM,70.58,22.57,59.53,100,0,10
539,Diego de Almagro,CL,78.32,-26.39,-70.05,56,8,3.62
540,Chukhloma,RU,15.09,58.76,42.68,85,92,15.7
541,Olbia,IT,51.8,40.92,9.49,71,75,16.11
542,Russell,AR,95,-33.01,-68.8,47,40,11.41
543,Seddon,NZ,74.58,-41.67,174.07,66,0,8.99
544,Kamaishi,JP,31.97,39.28,141.86,87,80,5.64
545,Nioro,GM,82.37,13.79,-15.05,25,0,12.35
546,Severo-Kurilsk,RU,18.06,50.68,156.12,100,8,8.77
547,Anju,KP,19.64,39.62,125.66,54,0,10
548,Paamiut,GL,25.8,61.99,-49.67,100,80,21.07
549,Los Llanos de Aridane,ES,62.6,28.66,-17.92,67,40,9.17
550,Zemio,CF,85.43,5.02,25.13,56,44,0.94
551,Baoshan,CN,42.8,31.41,121.49,87,0,2.24
552,Mabaruma,GY,79.35,8.2,-59.78,81,88,9.78
553,Nantucket,US,40.68,41.28,-70.1,86,1,11.41
554,Baykit,RU,-9.08,61.68,96.39,63,56,7.87
555,Dorverden,DE,39.2,52.85,9.23,86,75,9.17
556,Tallahassee,US,51.85,30.44,-84.28,50,1,3.36
557,Bilibino,RU,-28.02,68.06,166.44,42,64,2.73
558,Padampur,IN,45.78,29.71,73.62,84,0,5.19
559,Khatanga,RU,-31.58,71.98,102.47,54,20,4.18
560,Ekhabi,RU,-8.58,53.51,142.97,81,0,11.01
561,Pekan Nenas,MY,79.29,1.51,103.51,94,75,8.77
562,Grindavik,IS,29.26,63.84,-22.43,100,90,8.05
563,Sao Joao da Barra,BR,84.2,-21.64,-41.05,62,0,20.8
564,Quelimane,MZ,78.8,-17.88,36.89,78,40,8.05
565,Alvaraes,BR,80.6,-3.22,-64.8,83,75,2.24
566,Suffolk,US,49.82,36.73,-76.58,43,1,6.93
567,Corvallis,US,43.16,44.56,-123.26,95,90,3.74
568,Baiao,BR,80.88,-2.79,-49.67,78,80,2.62
569,Beloha,MG,71.7,-25.17,45.06,72,48,14.03
570,Ampanihy,MG,68.24,-24.69,44.75,82,0,15.14
571,Novosokolniki,RU,10.59,56.35,30.15,78,64,2.95
572,Salto de Agua,MX,68,17.56,-92.33,94,90,13.87
573,Bavleny,RU,16.53,56.4,39.56,90,92,9.1
574,Gazanjyk,TM,38.58,39.24,55.52,74,44,2.62
575,Miramar,CR,83.28,10.09,-84.73,54,20,12.75
576,Mana,RS,28.69,43.52,20.24,92,0,1.12
577,Sepuka,TZ,60.36,-4.75,34.53,100,36,4.29
578,Ormara,PK,66.84,25.21,64.64,96,0,5.53
579,Esmeralda,CL,84.3,-34.33,-70.9,42,24,2.39
580,Point Pleasant,US,46.9,40.08,-74.07,36,20,13.87
582,Chamba,IN,25.31,32.56,76.12,63,0,2.84
583,Kabinda,CD,74.04,-6.14,24.49,90,20,7.65
584,Jaguarao,BR,87.41,-32.57,-53.38,75,8,7.65
585,Ola,RU,-7.86,59.58,151.3,100,76,14.14
586,Coihaique,CL,57.2,-45.58,-72.07,71,75,5.82
587,Lar,IR,53.6,27.66,54.32,54,0,1.95
588,Malaya Purga,RU,6.77,56.55,53.01,79,76,13.58
589,Bandarbeyla,SO,77.78,9.49,50.81,100,92,22.08
590,Sukkur,PK,49.61,27.7,68.86,88,0,3.85
591,Luba,PH,58.97,17.32,120.7,85,0,3.62
593,Coquimbo,CL,68,-29.95,-71.34,68,20,12.75
594,Cocorit,MX,82.4,27.57,-109.96,12,5,6.93
595,Santa Cruz,US,66.61,36.97,-122.03,45,1,10.29
596,Bay City,US,11.12,43.59,-83.89,47,1,13.87
597,Jalu,LY,43.98,29.03,21.55,82,0,2.95
598,Matadi,CD,79.71,-5.83,13.46,81,88,6.31
600,Otaru,JP,24.8,43.18,140.99,79,75,11.41
601,Gravdal,NO,29.01,59.79,5.78,58,0,9.17
602,Tshela,CD,73.95,-4.99,12.94,96,80,3.29
603,Byron Bay,AU,76.55,-28.65,153.62,74,0,9.17
604,Talaya,RU,-13.01,55.79,84.89,75,40,11.18
605,Contamana,PE,83.63,-7.35,-75.01,79,44,3.06
606,Sheridan,US,47.59,39.65,-105.03,29,1,18.34
607,Hami,CN,21.26,42.84,93.51,86,92,3.96
608,Lewistown,US,14.65,40.39,-90.15,70,90,4.63
609,Aklavik,CA,-4.01,68.22,-135.01,70,75,6.93
610,Badiraguato,MX,84.2,25.36,-107.55,21,5,2.95
611,Cayenne,GF,82.4,4.94,-52.33,74,75,12.75
612,Danilov,RU,15.8,58.19,40.17,85,90,4.47
613,Mindelo,PT,50.18,41.31,-8.72,81,40,4.7
614,Cidreira,BR,84.53,-30.17,-50.22,70,12,11.79
616,Pemberton,AU,50.28,-34.44,116.03,91,0,5.64
617,Barcelos,PT,50.2,41.53,-8.62,81,40,4.7
618,Yellandu,IN,66.26,17.59,80.32,100,100,6.98
619,Mumford,GH,80.57,5.26,-0.76,83,12,10.67
620,Casa Grande,US,68.56,32.88,-111.76,18,1,6.93
621,Samarai,PG,83.58,-10.62,150.67,100,32,13.69
622,Kigali,RW,69.8,-1.95,30.06,73,40,4.7
623,Saint-Francois,FR,37.4,46.42,3.91,86,90,11.41
624,High Level,CA,17.6,58.52,-117.13,72,75,13.87
625,Nsukka,NG,84.2,6.86,7.39,74,20,6.93
626,Zarate,PE,71.6,-13.68,-76.08,30,75,18.34
628,Nefteyugansk,RU,-22.01,61.09,72.61,74,75,4.47
629,Aleksandrov Gay,RU,25.08,50.14,48.57,93,92,16.82
630,Parintins,BR,86.24,-2.63,-56.73,64,8,5.97
631,Praia da Vitoria,PT,57.2,38.73,-27.07,87,75,13.02
632,Igarka,RU,-23.12,67.47,86.57,68,36,13.47
633,Jiblah,YE,49.2,13.92,44.15,99,64,1.95
634,Samana,EC,86,0.12,-76.97,66,0,2.24
